Customer_ID,Customer_Name,Gender,Age,City,Region,Customer_Segment,Signup_Date,Acquisition_Channel
C00001,Customer 0001,Female,27,Bhubaneswar,East,New,2025-02-25,Social Media
C00002,Customer 0002,Female,57,Guwahati,East,New,2025-06-22,Referral
C00003,Customer 0003,Male,58,Chennai,South,High Value,2025-02-15,Referral
C00004,Customer 0004,Male,57,Jaipur,North,At Risk,2025-08-06,Referral
C00005,Customer 0005,Female,56,Pune,West,Loyal,2025-09-01,Referral
C00006,Customer 0006,Male,59,Chennai,South,Low Value,2025-04-14,Organic
C00007,Customer 0007,Female,35,Bhubaneswar,East,New,2025-09-01,Email
C00008,Customer 0008,Female,25,Indore,Central,Low Value,2025-09-15,Google Ads
C00009,Customer 0009,Male,58,Chandigarh,North,Low Value,2025-10-07,Email
C00010,Customer 0010,Female,21,Mumbai,West,High Value,2025-02-10,Referral
C00011,Customer 0011,Male,53,Jaipur,North,New,2025-08-27,Google Ads
C00012,Customer 0012,Female,50,Kolkata,East,High Value,2025-04-10,Referral
C00013,Customer 0013,Male,56,Hyderabad,South,Low Value,2025-01-15,Organic
C00014,Customer 0014,Female,25,Jaipur,North,High Value,2025-11-26,Referral
C00015,Customer 0015,Male,21,Ahmedabad,West,Loyal,2025-10-12,Unknown
C00016,Customer 0016,Female,31,Ahmedabad,West,High Value,2025-03-07,Referral
C00017,Customer 0017,Female,22,Delhi,North,Low Value,2025-02-21,Email
C00018,Customer 0018,Male,47,Bengaluru,South,Low Value,2025-10-08,Email
C00019,Customer 0019,Female,48,Chandigarh,North,High Value,2025-10-07,Social Media
C00020,Customer 0020,Female,42,Bengaluru,South,At Risk,2025-02-11,Referral
C00021,Customer 0021,Female,26,Chandigarh,North,Loyal,2025-05-29,Organic
C00022,Customer 0022,Other,50,Bengaluru,South,High Value,2025-08-23,Referral
C00023,Customer 0023,Female,21,Jaipur,North,At Risk,2025-01-02,Social Media
C00024,Customer 0024,Male,35,Jaipur,North,New,2025-01-31,Email
C00025,Customer 0025,Female,46,Guwahati,East,Loyal,2025-03-25,Google Ads
C00026,Customer 0026,Female,42,Indore,Central,At Risk,2025-04-10,Referral
C00027,Customer 0027,Female,26,Guwahati,East,New,2025-02-22,Email
C00028,Customer 0028,Male,58,Kolkata,East,Loyal,2025-02-09,Google Ads
C00029,Customer 0029,Female,45,Pune,West,New,2025-09-17,Organic
C00030,Customer 0030,Female,44,Guwahati,East,High Value,2025-03-13,Google Ads
C00031,Customer 0031,Male,39,Chennai,South,New,2025-06-07,Google Ads
C00032,Customer 0032,Female,44,Bhubaneswar,East,Loyal,2025-08-20,Referral
C00033,Customer 0033,Male,42,Hyderabad,South,At Risk,2025-04-24,Social Media
C00034,Customer 0034,Female,42,Hyderabad,South,Low Value,2025-06-19,Email
C00035,Customer 0035,Female,41,Indore,Central,Loyal,2025-08-31,Social Media
C00036,Customer 0036,Male,22,Unknown,Central,Low Value,2025-06-13,Organic
C00037,Customer 0037,Male,31,Bhopal,Central,Loyal,2025-01-26,Referral
