Product_ID,Product_Name,Category,Brand,Unit_Cost,Unit_Price,Supplier,Stock_Opening,Reorder_Level,Current_Stock
P0001,Electronics Product 001,Electronics,Vertex,3926.29,4907.86,Supplier_02,261,88.0,216
P0002,Home Product 002,Home,Prime,3562.5,4453.12,Supplier_03,301,98.0,246
P0003,Fashion Product 003,Fashion,Urban,3865.41,6788.51,Supplier_04,295,30.0,242
P0004,Beauty Product 004,Beauty,Apex,2389.33,3466.38,Supplier_05,156,94.0,143
P0005,Sports Product 005,Sports,Nova,3308.36,7082.09,Supplier_06,309,55.0,251
P0006,Electronics Product 006,Electronics,Vertex,1329.38,4936.68,Supplier_07,452,25.0,413
P0007,Home Product 007,Home,Prime,4181.25,5553.32,Supplier_08,149,80.0,123
P0008,Fashion Product 008,Fashion,Urban,1934.0,8265.58,Supplier_09,267,91.0,229
P0009,Beauty Product 009,Beauty,Apex,3947.32,4934.15,Supplier_10,232,57.0,165
P0010,Sports Product 010,Sports,Nova,458.07,1734.32,Supplier_11,392,74.0,332
P0011,Electronics Product 011,Electronics,Vertex,3787.62,8240.08,Supplier_12,252,46.0,193
P0012,Home Product 012,Home,Prime,2009.68,4256.45,Supplier_01,414,35.0,379
P0013,Fashion Product 013,Fashion,Urban,867.13,4305.64,Supplier_02,218,38.0,163
P0014,Beauty Product 014,Beauty,Apex,3431.62,4289.52,Supplier_03,147,86.0,117
P0015,Sports Product 015,Sports,Nova,3576.26,4470.33,Supplier_04,402,86.0,353
P0016,Electronics Product 016,Electronics,Vertex,4072.63,5090.79,Supplier_05,457,43.0,411
P0017,Home Product 017,Home,Prime,3491.85,4364.81,Supplier_06,429,35.0,408
P0018,Fashion Product 018,Fashion,Urban,284.97,6795.4,Supplier_07,407,73.0,385
P0019,Beauty Product 019,Beauty,Unknown,3599.54,6745.83,Supplier_08,313,56.0,305
P0020,Sports Product 020,Sports,Nova,2951.52,3689.4,Supplier_09,183,29.0,169
P0021,Electronics Product 021,Electronics,Vertex,3424.91,4281.14,Supplier_10,439,65.0,406
