Date,Region,Orders,Customers,Revenue,Cost,Profit,Units_Sold,Return_Rate
2025-01-01,North,17,12.0,55777.61,37097.29,18680.32,28,3.99
2025-01-01,South,15,12.0,39245.03,22582.23,16662.8,36,7.83
2025-01-01,East,18,14.0,43119.07,27374.48,15744.59,40,3.06
2025-01-01,West,21,16.0,70467.98,49110.28,21357.7,47,6.74
2025-01-01,Central,13,10.0,49490.95,32097.39,17393.56,23,5.03
2025-01-02,North,12,8.0,29538.82,18662.65,10876.17,26,2.45
2025-01-02,South,11,9.0,25112.36,17287.46,7824.9,25,7.56
2025-01-02,East,14,10.0,48041.2,29280.05,18761.15,20,4.39
2025-01-02,West,14,10.0,40032.79,24896.3,15136.49,22,1.74
2025-01-02,Central,12,9.0,45788.59,26590.7,19197.89,30,2.7
2025-01-03,North,9,7.0,22903.41,15766.06,7137.35,18,3.83
2025-01-03,South,18,15.0,44634.74,25226.03,19408.71,40,5.87
2025-01-03,East,17,14.0,50482.83,34752.36,15730.47,33,2.35
2025-01-03,West,12,9.0,26703.11,17427.1,9276.01,19,2.63
2025-01-03,Central,14,12.0,39302.31,23074.37,16227.94,36,3.99
2025-01-04,North,14,11.0,45916.45,27150.29,18766.16,31,2.17
2025-01-04,South,19,13.0,49350.35,30055.74,19294.61,45,6.95
2025-01-04,East,20,16.0,82588.54,58992.39,23596.15,48,4.57
2025-01-04,West,12,9.0,27157.91,15130.75,12027.16,20,1.88
2025-01-04,Central,9,7.0,36696.24,22728.05,13968.19,23,6.46
2025-01-05,North,17,14.0,70641.0,42452.91,28188.09,31,2.59
2025-01-05,South,17,11.0,69315.64,40593.05,28722.59,31,5.58
2025-01-05,East,16,12.0,36056.21,24747.1,11309.11,40,3.94
2025-01-05,West,15,9.0,48491.86,27955.77,20536.09,21,4.96
2025-01-05,Central,16,10.0,58013.32,32291.9,25721.42,36,6.97
2025-01-06,North,16,12.0,66030.08,46915.51,19114.57,27,1.6
2025-01-06,South,16,14.0,39904.88,23407.96,16496.92,22,7.01
2025-01-06,East,20,16.0,46453.67,32229.32,14224.35,33,5.91
2025-01-06,West,9,7.0,36053.92,23027.13,13026.79,16,7.5
2025-01-06,Central,17,12.0,68430.19,48227.73,20202.46,39,3.07
2025-01-07,North,14,10.0,35280.17,25104.47,10175.7,33,2.95
2025-01-07,South,8,7.0,23181.34,14561.75,8619.59,13,4.81
2025-01-07,East,16,11.0,58125.83,36432.94,21692.89,29,4.72
2025-01-07,West,17,11.0,70368.04,48162.79,22205.25,24,3.03
2025-01-07,Central,8,6.0,23051.49,16490.97,6560.52,12,8.3
2025-01-08,North,14,10.0,33064.49,21981.26,11083.23,29,7.45
2025-01-08,South,16,10.0,58966.03,39191.65,19774.38,30,4.53
2025-01-08,East,15,11.0,51613.12,31830.71,19782.41,27,7.81
2025-01-08,West,13,11.0,44557.11,27426.64,17130.47,32,6.82
2025-01-08,Central,22,18.0,88604.56,61930.86,26673.7,52,6.61
2025-01-09,North,14,10.0,42495.23,28171.35,14323.88,31,5.04
2025-01-09,South,12,8.0,32532.62,21433.6,11099.02,16,3.81
2025-01-09,East,13,10.0,36044.19,24143.76,11900.43,33,2.33
2025-01-09,West,12,8.0,41119.29,22730.17,18389.12,24,4.01
2025-01-09,Central,15,10.0,58168.2,35877.49,22290.71,30,1.99
2025-01-10,North,11,7.0,39146.15,26961.77,12184.38,22,8.39
2025-01-10,South,11,7.0,27766.26,19671.17,8095.09,18,8.34
2025-01-10,East,16,12.0,60523.7,42528.46,17995.24,24,3.31
2025-01-10,West,22,14.0,62123.9,35705.18,26418.72,43,4.28
2025-01-10,Central,5,3.0,11376.58,6304.68,5071.9,11,1.6
2025-01-11,North,12,10.0,44248.89,29436.2,14812.69,19,1.5
2025-01-11,South,5,4.0,20752.38,13424.88,7327.5,12,7.41
2025-01-11,East,13,10.0,39877.52,22705.25,17172.27,32,6.99
2025-01-11,West,13,9.0,40668.74,27100.74,13568.0,20,3.69
2025-01-11,Central,11,8.0,25763.82,17471.72,8292.1,22,5.03
2025-01-12,North,15,9.0,39223.84,23179.47,16044.37,20,6.54
2025-01-12,South,11,8.0,36021.98,21772.08,14249.9,26,3.21
2025-01-12,East,18,14.0,46330.11,26053.83,20276.28,33,6.89
2025-01-12,West,9,7.0,20033.77,11814.94,8218.83,12,4.14
2025-01-12,Central,15,10.0,54169.68,31157.9,23011.78,26,3.19
2025-01-13,North,12,7.0,35932.27,22930.61,13001.66,20,3.35
