Campaign_ID,Campaign_Name,Start_Date,End_Date,Channel,Region,Budget,Spend,Impressions,Clicks,Leads,Conversions,Revenue,ROI_Percent
M001,New Year Sale,2025-01-01,2025-01-13,Google Ads,East,89853.07,76113.93,143338,4343.0,1781,415,474199.08,523.01
M002,Summer Campaign,2025-01-16,2025-02-01,Email,North,48269.04,42229.3,309469,3535.0,1694,158,120722.59,185.87
M003,Monsoon Offers,2025-01-31,2025-02-14,Facebook,East,78648.48,65657.93,260648,22573.0,1378,325,267766.77,307.82
M004,Festive Sale,2025-02-15,2025-03-05,Google Ads,Central,141789.82,130669.56,384886,28208.0,597,43,590113.21,351.61
M005,Diwali Campaign,2025-03-02,2025-03-16,Facebook,Central,159435.31,124586.76,319048,8039.0,2202,415,424883.69,241.03
M006,Year End Sale,2025-03-18,2025-04-07,Facebook,North,143720.81,124028.75,219025,15366.0,1019,197,692211.13,458.11
M007,Customer Retention,2025-04-02,2025-04-11,Facebook,East,138416.04,129919.45,495141,26156.0,2599,199,576692.83,343.88
M008,Product Launch,2025-04-17,2025-05-01,Affiliate,Central,194805.66,170052.97,221948,13284.0,860,101,443251.35,160.65
M009,New Year Sale,2025-05-02,2025-05-15,YouTube,West,141505.2,117373.82,373140,17349.0,1556,275,703380.87,499.27
M010,Summer Campaign,2025-05-17,2025-05-25,YouTube,West,160840.35,149581.68,335878,1975.0,2755,322,432320.85,189.02
M011,Monsoon Offers,2025-06-02,2025-06-20,Email,West,68356.38,60167.13,404302,18412.0,2754,304,243257.42,304.3
M012,Festive Sale,2025-06-17,2025-06-24,Google Ads,Central,46590.97,36995.85,218081,19042.0,1847,261,81073.46,119.14
M013,Diwali Campaign,2025-07-02,2025-07-21,Affiliate,Central,70884.43,59321.92,373865,28995.0,1041,255,281234.93,374.08
M014,Year End Sale,2025-07-17,2025-07-25,Affiliate,Central,208435.23,173790.79,51432,11429.0,2430,278,472707.98,172.0
M015,Customer Retention,2025-08-01,2025-08-20,Email,West,37086.72,31345.91,313748,3727.0,1034,224,112362.6,258.46
M016,Product Launch,2025-08-17,2025-08-24,Google Ads,North,126524.15,103191.45,405201,7791.0,2689,502,336141.86,225.75
M017,New Year Sale,2025-09-01,2025-09-21,YouTube,Central,176501.15,139350.07,377872,29114.0,2264,251,540261.46,287.7
M018,Summer Campaign,2025-09-16,2025-10-02,Google Ads,West,31847.95,26232.42,390967,18134.0,2671,169,51112.36,94.84
M019,Monsoon Offers,2025-10-01,2025-10-15,YouTube,East,48132.35,38267.91,413076,12488.0,2703,185,108777.47,184.25
M020,Festive Sale,2025-10-16,2025-10-24,Facebook,Central,42206.71,36453.57,300883,15366.0,851,145,107894.39,195.98
M021,Diwali Campaign,2025-11-01,2025-11-16,Affiliate,South,151146.71,137454.34,76822,13945.0,1078,96,302408.65,120.01
M022,Year End Sale,2025-11-16,2025-11-27,YouTube,South,37152.13,29438.51,191111,16273.0,1386,304,151662.18,415.18
M023,Customer Retention,2025-12-01,2025-12-16,Google Ads,West,149014.56,127663.56,149228,18944.0,491,110,439008.97,243.88
M024,Product Launch,2025-12-16,2025-12-26,Email,East,231062.01,179096.24,298995,11151.0,2063,473,1122901.81,526.98
