Financial_ID,Date,Revenue,COGS,Operating_Expenses,Marketing_Expenses,Other_Expenses,Total_Expenses,Profit,Tax,Net_Profit
FIN0001,2025-01-01,449184,252104,78046,20975,12716,111737,85343,17068,68275
FIN0002,2025-01-02,562964,317707,101950,23021,11856,136827,108430,21686,86744
FIN0003,2025-01-03,552475,326016,103899,33966,15369,153234,73225,14645,58580
FIN0004,2025-01-04,635968,363151,120492,40881,11505,172878,99939,19987,79952
FIN0005,2025-01-05,554223,329711,98104,24754,17403,140261,84251,16850,67401
FIN0006,2025-01-06,508236,287209,90972,25802,11595,128369,92658,18531,74127
FIN0007,2025-01-07,489342,293779,96149,27445,15474,139068,56495,11299,45196
FIN0008,2025-01-08,519230,292814,90688,30561,15782,137031,89385,17877,71508
FIN0009,2025-01-09,514800,303149,100503,21299,10908,132710,78941,15788,63153
FIN0010,2025-01-10,495861,302108,100543,32724,11564,144831,48922,9784,39138
FIN0011,2025-01-11,646629,382664,115256,33046,13535,161837,102128,20425,81703
FIN0012,2025-01-12,587983,349903,114173,24778,15810,154761,83319,16663,66656
FIN0013,2025-01-13,560021,334028,94178,28775,17838,140791,85202,17040,68162
FIN0014,2025-01-14,566001,323175,99737,35686,10631,146054,96772,19354,77418
FIN0015,2025-01-15,428414,257156,77139,17987,13188,108314,62944,12588,50356
FIN0016,2025-01-16,568682,343380,99936,33929,13386,147251,78051,15610,62441
FIN0017,2025-01-17,540285,306419,90217,33686,13801,137704,96162,19232,76930
FIN0018,2025-01-18,687894,399956,130133,34986,21986,187105,100833,20166,80667
FIN0019,2025-01-19,547514,320556,90090,22674,10695,123459,103499,20699,82800
FIN0020,2025-01-20,461938,276979,83660,19357,10782,113799,71160,14232,56928
FIN0021,2025-01-21,542696,318267,113181,35722,9855,158758,65671,13134,52537
FIN0022,2025-01-22,450029,267355,84087,21603,12138,117828,64846,12969,51877
FIN0023,2025-01-23,449242,258168,75431,18013,12627,106071,85003,17000,68003
FIN0024,2025-01-24,489045,297630,96878,27010,9531,133419,57996,11599,46397
FIN0025,2025-01-25,597882,359974,110837,27483,13891,152211,85697,17139,68558
FIN0026,2025-01-26,554818,325660,110370,31020,9991,151381,77777,15555,62222
FIN0027,2025-01-27,504975,295122,83620,25697,16055,125372,84481,16896,67585
FIN0028,2025-01-28,500612,286336,86127,28545,9562,124234,90042,18008,72034
FIN0029,2025-01-29,547399,328877,114351,30644,10816,155811,62711,12542,50169
FIN0030,2025-01-30,544592,330753,91631,30404,14427,136462,77377,15475,61902
FIN0031,2025-01-31,475521,288377,94040,28862,13305,136207,50937,10187,40750
FIN0032,2025-02-01,629511,383849,121177,33454,15892,170523,75139,15027,60112
FIN0033,2025-02-02,542064,310274,88465,22024,13960,124449,107341,21468,85873
FIN0034,2025-02-03,574256,327906,93919,33842,12177,139938,106412,21282,85130
FIN0035,2025-02-04,428234,258217,70034,20187,11718,101939,68078,13615,54463
FIN0036,2025-02-05,476160,279487,93407,31651,12412,137470,59203,11840,47363
FIN0037,2025-02-06,483700,289848,96921,22111,9362,128394,65458,13091,52367
FIN0038,2025-02-07,532997,307920,96235,35132,9998,141365,83712,16742,66970
FIN0039,2025-02-08,534958,301197,105071,34246,10447,149764,83997,16799,67198
FIN0040,2025-02-09,564268,321356,102939,29712,12357,145008,97904,19580,78324
FIN0041,2025-02-10,485485,293099,79507,31187,14556,125250,67136,13427,53709
FIN0042,2025-02-11,445666,250700,93573,29004,14067,136644,58322,11664,46658
FIN0043,2025-02-12,481965,273908,88817,22369,11381,122567,85490,17098,68392
FIN0044,2025-02-13,435370,247391,69706,22514,13483,105703,82276,16455,65821
FIN0045,2025-02-14,539277,309686,105067,33389,15621,154077,75514,15102,60412
FIN0046,2025-02-15,657092,373057,114882,45379,17155,177416,106619,21323,85296
FIN0047,2025-02-16,674559,379809,118506,27997,16644,163147,131603,26320,105283
FIN0048,2025-02-17,559231,317571,116341,23713,11521,151575,90085,18017,72068
FIN0049,2025-02-18,575984,324508,116977,30016,17960,164953,86523,17304,69219
FIN0050,2025-02-19,569336,325837,108017,33352,13589,154958,88541,17708,70833
FIN0051,2025-02-20,573006,337077,100745,27402,15686,143833,92096,18419,73677
FIN0052,2025-02-21,502361,287317,90319,30217,11152,131688,83356,16671,66685
FIN0053,2025-02-22,603459,365968,124787,24307,16110,165204,72287,14457,57830
FIN0054,2025-02-23,681102,415339,111471,31599,14788,157858,107905,21581,86324
FIN0055,2025-02-24,511490,308962,104325,26129,10336,140790,61738,12347,49391
FIN0056,2025-02-25,562401,334728,107184,39152,15272,161608,66065,13213,52852
FIN0057,2025-02-26,422050,250441,79231,28679,8208,116118,55491,11098,44393
FIN0058,2025-02-27,455203,260932,93082,28346,9184,130612,63659,12731,50928
FIN0059,2025-02-28,493860,291496,96737,22770,13274,132781,69583,13916,55667
FIN0060,2025-03-01,675097,395114,116492,45396,12631,174519,105464,21092,84372
FIN0061,2025-03-02,732831,440773,118868,36646,14533,170047,122011,24402,97609
FIN0062,2025-03-03,561970,319243,102330,34375,14528,151233,91494,18298,73196
FIN0063,2025-03-04,516726,291310,105492,34681,13247,153420,71996,14399,57597
FIN0064,2025-03-05,594305,350120,99489,26044,13262,138795,105390,21078,84312
FIN0065,2025-03-06,495026,299464,84403,23506,9622,117531,78031,15606,62425
FIN0066,2025-03-07,651785,393812,117529,38207,13142,168878,89095,17819,71276
FIN0067,2025-03-08,665241,401293,138909,42790,20183,201882,62066,12413,49653
FIN0068,2025-03-09,588565,334874,121376,37357,13986,172719,80972,16194,64778
FIN0069,2025-03-10,557813,319816,111210,24121,16851,152182,85815,17163,68652
FIN0070,2025-03-11,624896,356891,125497,33625,13918,173040,94965,18993,75972
FIN0071,2025-03-12,551611,315050,106461,28658,12080,147199,89362,17872,71490
FIN0072,2025-03-13,503927,306561,87661,29854,11890,129405,67961,13592,54369
FIN0073,2025-03-14,644649,371677,104033,42747,13961,160741,112231,22446,89785
FIN0074,2025-03-15,789633,480196,136822,34153,19017,189992,119445,23889,95556
FIN0075,2025-03-16,693074,403244,144999,30127,21203,196329,93501,18700,74801
FIN0076,2025-03-17,540302,309450,105596,21639,16726,143961,86891,17378,69513
FIN0077,2025-03-18,645323,383543,133590,40081,13395,187066,74714,14942,59772
FIN0078,2025-03-19,613021,345436,118442,30593,13728,162763,104822,20964,83858
FIN0079,2025-03-20,520569,310252,91107,25652,12346,129105,81212,16242,64970
FIN0080,2025-03-21,604308,359478,113441,27650,16503,157594,87236,17447,69789
FIN0081,2025-03-22,716758,425658,147035,41905,15921,204861,86239,17247,68992
FIN0082,2025-03-23,777820,468003,136269,36017,22557,194843,114974,22994,91980
FIN0083,2025-03-24,665886,394694,122023,35468,13978,171469,99723,19944,79779
FIN0084,2025-03-25,625648,375192,130129,38839,17032,186000,64456,12891,51565
FIN0085,2025-03-26,568550,333041,108960,28459,16748,154167,81342,16268,65074
FIN0086,2025-03-27,553804,328760,94828,25460,10157,130445,94599,18919,75680
FIN0087,2025-03-28,556811,339207,106107,35109,13572,154788,62816,12563,50253
FIN0088,2025-03-29,787853,448856,153487,43199,16872,213558,125439,25087,100352
FIN0089,2025-03-30,581605,351657,118078,38713,16807,173598,56350,11270,45080
FIN0090,2025-03-31,548972,312252,114130,30489,10267,154886,81834,16366,65468
FIN0091,2025-04-01,558123,338151,92686,24557,13676,130919,89053,17810,71243
FIN0092,2025-04-02,643117,391912,122045,44054,19602,185701,65504,13100,52404
FIN0093,2025-04-03,635172,369249,130427,33903,12848,177178,88745,17749,70996
FIN0094,2025-04-04,626097,364703,123709,40818,13700,178227,83167,16633,66534
FIN0095,2025-04-05,768183,448795,132098,40864,21501,194463,124925,24985,99940
FIN0096,2025-04-06,664429,381107,116929,37343,13246,167518,115804,23160,92644
FIN0097,2025-04-07,552716,320106,92657,25656,13159,131472,101138,20227,80911
FIN0098,2025-04-08,582748,342149,105354,26925,13917,146196,94403,18880,75523
FIN0099,2025-04-09,659078,400260,106096,43775,17175,167046,91772,18354,73418
