Customer_ID,Registration_Date,Last_Order_Date,Order_Count,Total_Spend,Order_Value,Region,City,State,Country,Gender,Age,Customer_Segment,Customer_Status
CUST001,2026-01-05,2026-08-25,12.0,85450.0,7120.0,South,Bengaluru,Karnataka,India,Male,32.0,Premium,Active
CUST002,2026-01-08,2026-08-20,8.0,42300.0,5287.0,South,Chennai,Tamil Nadu,India,Female,28.0,Regular,Active
CUST003,2026-01-12,2026-07-15,3.0,12600.0,4200.0,West,Mumbai,Maharashtra,India,Male,41.0,Regular,Inactive
CUST004,2026-01-18,2026-08-28,18.0,125800.0,6990.0,North,Delhi,Delhi,India,Female,35.0,Premium,Active
CUST005,2026-01-25,2026-06-05,2.0,5800.0,2900.0,East,Kolkata,West Bengal,India,Male,24.0,New,Inactive
CUST006,2026-02-02,2026-08-30,15.0,98400.0,6560.0,South,Hyderabad,Telangana,India,Female,31.0,Premium,Active
CUST007,2026-02-10,2026-08-18,7.0,35100.0,5014.0,West,Pune,Maharashtra,India,Male,29.0,Regular,Active
CUST008,2026-02-15,2026-05-12,1.0,2200.0,2200.0,North,Jaipur,Rajasthan,India,Female,22.0,New,Inactive
CUST009,2026-02-22,2026-08-27,11.0,76500.0,6955.0,South,Bengaluru,Karnataka,India,Male,38.0,Premium,Active
CUST010,2026-03-01,2026-08-22,6.0,29800.0,4967.0,East,Bhubaneswar,Odisha,India,Female,27.0,Regular,Active
CUST011,2026-03-07,2026-07-10,4.0,18900.0,4725.0,North,Lucknow,Uttar Pradesh,India,Male,45.0,Regular,Inactive
CUST012,2026-03-14,2026-08-29,14.0,112500.0,8036.0,West,Mumbai,Maharashtra,India,Female,36.0,Premium,Active
CUST013,2026-03-20,2026-08-16,9.0,47500.0,5278.0,South,Chennai,Tamil Nadu,India,Male,33.0,Regular,Active
CUST014,2026-03-28,2026-04-03,1.0,1500.0,1500.0,East,Kolkata,West Bengal,India,Female,21.0,New,Inactive
CUST015,2026-04-05,2026-08-25,13.0,89200.0,6862.0,South,Hyderabad,Telangana,India,Male,40.0,Premium,Active
CUST016,2026-04-12,2026-08-19,5.0,24700.0,4940.0,North,Delhi,Delhi,India,Female,30.0,Regular,Active
CUST017,2026-04-18,2026-06-14,2.0,6200.0,3100.0,West,Ahmedabad,Gujarat,India,Male,26.0,New,Inactive
CUST018,2026-04-25,2026-08-31,16.0,134500.0,8406.0,South,Bengaluru,Karnataka,India,Female,34.0,Premium,Active
CUST019,2026-05-02,2026-08-21,8.0,39800.0,4975.0,West,Pune,Maharashtra,India,Male,37.0,Regular,Active
CUST020,2026-05-10,2026-08-08,3.0,11200.0,3733.0,North,Jaipur,Rajasthan,India,Female,25.0,Regular,Inactive
CUST021,2026-01-05,2026-08-25,6.60526315789473,42370.7894736842,4885.93157894737,South,Bengaluru,Karnataka,India,Male,31.3526315789474,Premium,Active
CUST022,2026-01-08,2026-08-20,6.48195488721804,41644.4360902255,4857.22030075188,South,Chennai,Tamil Nadu,India,Female,31.3195488721805,Regular,Active
CUST023,2026-01-12,2026-07-15,6.35864661654135,40918.0827067669,4828.50902255639,West,Mumbai,Maharashtra,India,Male,31.2864661654135,Regular,Inactive
CUST024,2026-01-18,2026-08-28,6.23533834586466,40191.7293233082,4799.7977443609,North,Delhi,Delhi,India,Female,31.2533834586466,Premium,Active
CUST025,2026-01-25,2026-06-05,6.11203007518797,39465.3759398496,4771.08646616541,East,Kolkata,West Bengal,India,Male,31.2203007518797,New,Inactive
CUST026,2026-02-02,2026-08-30,5.98872180451127,38739.0225563909,4742.37518796992,South,Hyderabad,Telangana,India,Female,31.1872180451128,Premium,Active
CUST027,2026-02-10,2026-08-18,5.86541353383458,38012.6691729323,4713.66390977444,West,Pune,Maharashtra,India,Male,31.1541353383459,Regular,Active
CUST028,2026-02-15,2026-05-12,5.74210526315789,37286.3157894736,4684.95263157895,North,Jaipur,Rajasthan,India,Female,31.1210526315789,New,Inactive
CUST029,2026-02-22,2026-08-27,5.6187969924812,36559.962406015,4656.24135338346,South,Bengaluru,Karnataka,India,Male,31.087969924812,Premium,Active
CUST030,2026-03-01,2026-08-22,5.49548872180451,35833.6090225563,4627.53007518797,East,Bhubaneswar,Odisha,India,Female,31.0548872180451,Regular,Active
CUST031,2026-03-07,2026-07-10,5.37218045112782,35107.2556390977,4598.81879699248,North,Lucknow,Uttar Pradesh,India,Male,31.0218045112782,Regular,Inactive
CUST032,2026-03-14,2026-08-29,5.24887218045112,34380.9022556391,4570.10751879699,West,Mumbai,Maharashtra,India,Female,30.9887218045113,Premium,Active
CUST033,2026-03-20,2026-08-16,5.12556390977443,33654.5488721804,4541.3962406015,South,Chennai,Tamil Nadu,India,Male,30.9556390977444,Regular,Active
CUST034,2026-03-28,2026-04-03,5.00225563909774,32928.1954887218,4512.68496240602,East,Kolkata,West Bengal,India,Female,30.9225563909774,New,Inactive
CUST035,2026-04-05,2026-08-25,4.87894736842105,32201.8421052631,4483.97368421053,South,Hyderabad,Telangana,India,Male,30.8894736842105,Premium,Active
CUST036,2026-04-12,2026-08-19,4.75563909774436,31475.4887218045,4455.26240601503,North,Delhi,Delhi,India,Female,30.8563909774436,Regular,Active
CUST037,2026-04-18,2026-06-14,4.63233082706766,30749.1353383458,4426.55112781955,West,Ahmedabad,Gujarat,India,Male,30.8233082706767,New,Inactive
CUST038,2026-04-25,2026-08-31,4.50902255639097,30022.7819548872,4397.83984962406,South,Bengaluru,Karnataka,India,Female,30.7902255639098,Premium,Active
CUST039,2026-05-02,2026-08-21,4.38571428571428,29296.4285714285,4369.12857142857,West,Pune,Maharashtra,India,Male,30.7571428571429,Regular,Active
CUST040,2026-05-10,2026-08-08,4.26240601503759,28570.0751879699,4340.41729323308,North,Jaipur,Rajasthan,India,Female,30.7240601503759,Regular,Inactive
CUST041,2026-01-05,2026-08-25,4.1390977443609,27843.7218045112,4311.70601503759,South,Bengaluru,Karnataka,India,Male,30.690977443609,Premium,Active
CUST042,2026-01-08,2026-08-20,4.01578947368421,27117.3684210526,4282.9947368421,South,Chennai,Tamil Nadu,India,Female,30.6578947368421,Regular,Active
CUST043,2026-01-12,2026-07-15,3.89248120300751,26391.0150375939,4254.28345864661,West,Mumbai,Maharashtra,India,Male,30.6248120300752,Regular,Inactive
CUST044,2026-01-18,2026-08-28,3.76917293233082,25664.6616541353,4225.57218045112,North,Delhi,Delhi,India,Female,30.5917293233083,Premium,Active
CUST045,2026-01-25,2026-06-05,3.64586466165413,24938.3082706766,4196.86090225564,East,Kolkata,West Bengal,India,Male,30.5586466165414,New,Inactive
CUST046,2026-02-02,2026-08-30,3.52255639097744,24211.954887218,4168.14962406015,South,Hyderabad,Telangana,India,Female,30.5255639097744,Premium,Active
CUST047,2026-02-10,2026-08-18,3.39924812030075,23485.6015037594,4139.43834586466,West,Pune,Maharashtra,India,Male,30.4924812030075,Regular,Active
CUST048,2026-02-15,2026-05-12,3.27593984962405,22759.2481203007,4110.72706766917,North,Jaipur,Rajasthan,India,Female,30.4593984962406,New,Inactive
CUST049,2026-02-22,2026-08-27,3.15263157894736,22032.8947368421,4082.01578947368,South,Bengaluru,Karnataka,India,Male,30.4263157894737,Premium,Active
CUST050,2026-03-01,2026-08-22,3.02932330827067,21306.5413533834,4053.30451127819,East,Bhubaneswar,Odisha,India,Female,30.3932330827068,Regular,Active
CUST051,2026-03-07,2026-07-10,2.90601503759398,20580.1879699248,4024.5932330827,North,Lucknow,Uttar Pradesh,India,Male,30.3601503759399,Regular,Inactive
CUST052,2026-03-14,2026-08-29,2.78270676691729,19853.8345864661,3995.88195488722,West,Mumbai,Maharashtra,India,Female,30.3270676691729,Premium,Active
CUST053,2026-03-20,2026-08-16,2.6593984962406,19127.4812030075,3967.17067669173,South,Chennai,Tamil Nadu,India,Male,30.293984962406,Regular,Active
CUST054,2026-03-28,2026-04-03,2.5360902255639,18401.1278195488,3938.45939849624,East,Kolkata,West Bengal,India,Female,30.2609022556391,New,Inactive
CUST055,2026-04-05,2026-08-25,2.41278195488721,17674.7744360902,3909.74812030075,South,Hyderabad,Telangana,India,Male,30.2278195488722,Premium,Active
CUST056,2026-04-12,2026-08-19,2.28947368421052,16948.4210526315,3881.03684210526,North,Delhi,Delhi,India,Female,30.1947368421053,Regular,Active
CUST057,2026-04-18,2026-06-14,2.16616541353383,16222.0676691729,3852.32556390977,West,Ahmedabad,Gujarat,India,Male,30.1616541353384,New,Inactive
CUST058,2026-04-25,2026-08-31,2.04285714285714,15495.7142857142,3823.61428571428,South,Bengaluru,Karnataka,India,Female,30.1285714285714,Premium,Active
CUST059,2026-05-02,2026-08-21,1.91954887218044,14769.3609022556,3794.90300751879,West,Pune,Maharashtra,India,Male,30.0954887218045,Regular,Active
CUST060,2026-05-10,2026-08-08,1.79624060150375,14043.007518797,3766.19172932331,North,Jaipur,Rajasthan,India,Female,30.0624060150376,Regular,Inactive
CUST061,2026-01-05,2026-08-25,1.67293233082706,13316.6541353383,3737.48045112782,South,Bengaluru,Karnataka,India,Male,30.0293233082707,Premium,Active
CUST062,2026-01-08,2026-08-20,1.54962406015037,12590.3007518797,3708.76917293233,South,Chennai,Tamil Nadu,India,Female,29.9962406015038,Regular,Active
CUST063,2026-01-12,2026-07-15,1.42631578947368,11863.947368421,3680.05789473684,West,Mumbai,Maharashtra,India,Male,29.9631578947368,Regular,Inactive
CUST064,2026-01-18,2026-08-28,1.30300751879699,11137.5939849624,3651.34661654135,North,Delhi,Delhi,India,Female,29.9300751879699,Premium,Active
CUST065,2026-01-25,2026-06-05,1.17969924812029,10411.2406015037,3622.63533834586,East,Kolkata,West Bengal,India,Male,29.896992481203,New,Inactive
CUST066,2026-02-02,2026-08-30,1.0563909774436,9684.88721804514,3593.92406015037,South,Hyderabad,Telangana,India,Female,29.8639097744361,Premium,Active
CUST067,2026-02-10,2026-08-18,0.933082706766912,8958.53383458644,3565.21278195488,West,Pune,Maharashtra,India,Male,29.8308270676692,Regular,Active
CUST068,2026-02-15,2026-05-12,0.809774436090223,8232.18045112784,3536.5015037594,North,Jaipur,Rajasthan,India,Female,29.7977443609023,New,Inactive
CUST069,2026-02-22,2026-08-27,0.686466165413533,7505.82706766914,3507.79022556391,South,Bengaluru,Karnataka,India,Male,29.7646616541353,Premium,Active
CUST070,2026-03-01,2026-08-22,0.563157894736833,6779.47368421054,3479.07894736842,East,Bhubaneswar,Odisha,India,Female,29.7315789473684,Regular,Active
CUST071,2026-03-07,2026-07-10,0.439849624060143,6053.12030075183,3450.36766917293,North,Lucknow,Uttar Pradesh,India,Male,29.6984962406015,Regular,Inactive
CUST072,2026-03-14,2026-08-29,0.316541353383453,5326.76691729324,3421.65639097744,West,Mumbai,Maharashtra,India,Female,29.6654135338346,Premium,Active
CUST073,2026-03-20,2026-08-16,0.193233082706763,4600.41353383454,3392.94511278195,South,Chennai,Tamil Nadu,India,Male,29.6323308270677,Regular,Active
CUST074,2026-03-28,2026-04-03,0.0699248120300737,3874.06015037594,3364.23383458646,East,Kolkata,West Bengal,India,Female,29.5992481203008,New,Inactive
CUST075,2026-04-05,2026-08-25,-0.0533834586466178,3147.70676691734,3335.52255639097,South,Hyderabad,Telangana,India,Male,29.5661654135338,Premium,Active
CUST076,2026-04-12,2026-08-19,-0.176691729323316,2421.35338345863,3306.81127819549,North,Delhi,Delhi,India,Female,29.5330827067669,Regular,Active
CUST077,2026-04-18,2026-06-14,-0.300000000000008,1695.00000000004,3278.1,West,Ahmedabad,Gujarat,India,Male,29.5,New,Inactive
CUST078,2026-04-25,2026-08-31,-0.423308270676698,968.646616541337,3249.38872180451,South,Bengaluru,Karnataka,India,Female,29.4669172932331,Premium,Active
CUST079,2026-05-02,2026-08-21,-0.546616541353387,242.293233082739,3220.67744360902,West,Pune,Maharashtra,India,Male,29.4338345864662,Regular,Active
CUST080,2026-05-10,2026-08-08,-0.669924812030077,-484.060150375961,3191.96616541353,North,Jaipur,Rajasthan,India,Female,29.4007518796993,Regular,Inactive
CUST081,2026-01-05,2026-08-25,-0.793233082706767,-1210.41353383457,3163.25488721804,South,Bengaluru,Karnataka,India,Male,29.3676691729323,Premium,Active
CUST082,2026-01-08,2026-08-20,-0.916541353383467,-1936.76691729327,3134.54360902255,South,Chennai,Tamil Nadu,India,Female,29.3345864661654,Regular,Active
CUST083,2026-01-12,2026-07-15,-1.03984962406013,-2663.12030075186,3105.83233082706,West,Mumbai,Maharashtra,India,Male,29.3015037593985,Regular,Inactive
CUST084,2026-01-18,2026-08-28,-1.16315789473683,-3389.47368421056,3077.12105263158,North,Delhi,Delhi,India,Female,29.2684210526316,Premium,Active
CUST085,2026-01-25,2026-06-05,-1.28646616541353,-4115.82706766916,3048.40977443609,East,Kolkata,West Bengal,India,Male,29.2353383458647,New,Inactive
CUST086,2026-02-02,2026-08-30,-1.40977443609023,-4842.18045112786,3019.6984962406,South,Hyderabad,Telangana,India,Female,29.2022556390978,Premium,Active
