Transaction_ID,Date,Category,Region,Revenue,Cost,Expenses,Tax,Profit,Cash_Inflow,Cash_Outflow,Transaction_Value,Payment_Status
TXN001,2025-01-01,Electronics,South,125000.0,70000.0,15000.0,8000.0,32000.0,120000.0,85000.0,125000.0,Paid
TXN002,2025-01-02,Furniture,North,98000.0,55000.0,12000.0,6000.0,25000.0,95000.0,67000.0,98000.0,Paid
TXN003,2025-01-03,Clothing,West,76000.0,42000.0,9000.0,5000.0,20000.0,72000.0,51000.0,76000.0,Paid
TXN004,2025-01-04,Electronics,East,145000.0,82000.0,18000.0,9000.0,36000.0,138000.0,97000.0,145000.0,Paid
TXN005,2025-01-05,Furniture,South,112000.0,62000.0,14000.0,7000.0,29000.0,108000.0,76000.0,112000.0,Paid
TXN006,2025-01-06,Clothing,North,89000.0,48000.0,11000.0,5500.0,24500.0,85000.0,59000.0,89000.0,Paid
TXN007,2025-01-07,Electronics,West,156000.0,90000.0,19000.0,10000.0,37000.0,150000.0,105000.0,156000.0,Paid
TXN008,2025-01-08,Furniture,East,105000.0,58000.0,13000.0,6500.0,27500.0,101000.0,71500.0,105000.0,Paid
TXN009,2025-01-09,Clothing,South,92000.0,50000.0,10000.0,5500.0,26500.0,88000.0,62000.0,92000.0,Paid
TXN010,2025-01-10,Electronics,North,168000.0,95000.0,21000.0,11000.0,41000.0,162000.0,112000.0,168000.0,Paid
TXN011,2025-01-11,Electronics,South,133266.666666667,74533.3333333334,16200.0,8433.33333333333,34100.0,128133.333333333,89133.3333333334,133266.666666667,Paid
TXN012,2025-01-12,Furniture,North,136296.96969697,76230.3030303031,16563.6363636364,8630.30303030303,34872.7272727273,131084.848484849,91057.5757575758,136296.96969697,Paid
TXN013,2025-01-13,Clothing,West,139327.272727273,77927.2727272728,16927.2727272727,8827.27272727272,35645.4545454545,134036.363636364,92981.8181818182,139327.272727273,Paid
TXN014,2025-01-14,Electronics,East,142357.575757576,79624.2424242425,17290.9090909091,9024.24242424242,36418.1818181818,136987.878787879,94906.0606060606,142357.575757576,Paid
TXN015,2025-01-15,Furniture,South,145387.878787879,81321.2121212122,17654.5454545455,9221.21212121212,37190.9090909091,139939.393939394,96830.3030303031,145387.878787879,Paid
TXN016,2025-01-16,Clothing,North,148418.181818182,83018.1818181819,18018.1818181818,9418.18181818181,37963.6363636364,142890.909090909,98754.5454545455,148418.181818182,Paid
TXN017,2025-01-17,Electronics,West,151448.484848485,84715.1515151516,18381.8181818182,9615.15151515151,38736.3636363637,145842.424242424,100678.787878788,151448.484848485,Paid
TXN018,2025-01-18,Furniture,East,154478.787878788,86412.1212121213,18745.4545454546,9812.12121212121,39509.0909090909,148793.939393939,102603.03030303,154478.787878788,Paid
TXN019,2025-01-19,Clothing,South,157509.090909091,88109.090909091,19109.0909090909,10009.0909090909,40281.8181818182,151745.454545455,104527.272727273,157509.090909091,Paid
TXN020,2025-01-20,Electronics,North,160539.393939394,89806.0606060607,19472.7272727273,10206.0606060606,41054.5454545455,154696.96969697,106451.515151515,160539.393939394,Paid
TXN021,2025-01-21,Electronics,South,163569.696969697,91503.0303030304,19836.3636363636,10403.0303030303,41827.2727272728,157648.484848485,108375.757575758,163569.696969697,Paid
TXN022,2025-01-22,Furniture,North,166600.0,93200.0000000001,20200.0,10600.0,42600.0,160600.0,110300.0,166600.0,Paid
TXN023,2025-01-23,Clothing,West,169630.303030303,94896.9696969698,20563.6363636364,10796.9696969697,43372.7272727273,163551.515151515,112224.242424242,169630.303030303,Paid
TXN024,2025-01-24,Electronics,East,172660.606060606,96593.9393939394,20927.2727272727,10993.9393939394,44145.4545454546,166503.03030303,114148.484848485,172660.606060606,Paid
TXN025,2025-01-25,Furniture,South,175690.909090909,98290.9090909091,21290.9090909091,11190.9090909091,44918.1818181818,169454.545454546,116072.727272727,175690.909090909,Paid
TXN026,2025-01-26,Clothing,North,178721.212121212,99987.8787878788,21654.5454545455,11387.8787878788,45690.9090909091,172406.060606061,117996.96969697,178721.212121212,Paid
TXN027,2025-01-27,Electronics,West,181751.515151515,101684.848484848,22018.1818181818,11584.8484848485,46463.6363636364,175357.575757576,119921.212121212,181751.515151515,Paid
TXN028,2025-01-28,Furniture,East,184781.818181818,103381.818181818,22381.8181818182,11781.8181818182,47236.3636363637,178309.090909091,121845.454545455,184781.818181818,Paid
TXN029,2025-01-29,Clothing,South,187812.121212121,105078.787878788,22745.4545454546,11978.7878787879,48009.0909090909,181260.606060606,123769.696969697,187812.121212121,Paid
TXN030,2025-01-30,Electronics,North,190842.424242424,106775.757575758,23109.090909091,12175.7575757576,48781.8181818182,184212.121212121,125693.939393939,190842.424242424,Paid
TXN031,2025-01-31,Electronics,South,193872.727272727,108472.727272727,23472.7272727273,12372.7272727273,49554.5454545455,187163.636363636,127618.181818182,193872.727272727,Paid
TXN032,2025-02-01,Furniture,North,196903.03030303,110169.696969697,23836.3636363637,12569.696969697,50327.2727272728,190115.151515151,129542.424242424,196903.03030303,Paid
TXN033,2025-02-02,Clothing,West,199933.333333333,111866.666666667,24200.0,12766.6666666667,51100.0,193066.666666667,131466.666666667,199933.333333333,Paid
TXN034,2025-02-03,Electronics,East,202963.636363636,113563.636363636,24563.6363636364,12963.6363636364,51872.7272727273,196018.181818182,133390.909090909,202963.636363636,Paid
TXN035,2025-02-04,Furniture,South,205993.939393939,115260.606060606,24927.2727272728,13160.6060606061,52645.4545454546,198969.696969697,135315.151515152,205993.939393939,Paid
TXN036,2025-02-05,Clothing,North,209024.242424242,116957.575757576,25290.9090909091,13357.5757575758,53418.1818181819,201921.212121212,137239.393939394,209024.242424242,Paid
TXN037,2025-02-06,Electronics,West,212054.545454545,118654.545454545,25654.5454545455,13554.5454545455,54190.9090909091,204872.727272727,139163.636363636,212054.545454545,Paid
TXN038,2025-02-07,Furniture,East,215084.848484848,120351.515151515,26018.1818181819,13751.5151515152,54963.6363636364,207824.242424243,141087.878787879,215084.848484848,Paid
TXN039,2025-02-08,Clothing,South,218115.151515151,122048.484848485,26381.8181818182,13948.4848484848,55736.3636363637,210775.757575758,143012.121212121,218115.151515151,Paid
TXN040,2025-02-09,Electronics,North,221145.454545454,123745.454545455,26745.4545454546,14145.4545454545,56509.0909090909,213727.272727273,144936.363636364,221145.454545454,Paid
TXN041,2025-02-10,Electronics,South,224175.757575757,125442.424242424,27109.090909091,14342.4242424242,57281.8181818182,216678.787878788,146860.606060606,224175.757575757,Paid
TXN042,2025-02-11,Furniture,North,227206.06060606,127139.393939394,27472.7272727273,14539.3939393939,58054.5454545455,219630.303030303,148784.848484849,227206.06060606,Paid
TXN043,2025-02-12,Clothing,West,230236.363636363,128836.363636364,27836.3636363637,14736.3636363636,58827.2727272728,222581.818181818,150709.090909091,230236.363636363,Paid
TXN044,2025-02-13,Electronics,East,233266.666666666,130533.333333333,28200.0,14933.3333333333,59600.0,225533.333333334,152633.333333333,233266.666666666,Paid
TXN045,2025-02-14,Furniture,South,236296.969696969,132230.303030303,28563.6363636364,15130.303030303,60372.7272727273,228484.848484849,154557.575757576,236296.969696969,Paid
TXN046,2025-02-15,Clothing,North,239327.272727272,133927.272727273,28927.2727272728,15327.2727272727,61145.4545454546,231436.363636364,156481.818181818,239327.272727272,Paid
TXN047,2025-02-16,Electronics,West,242357.575757575,135624.242424242,29290.9090909091,15524.2424242424,61918.1818181819,234387.878787879,158406.060606061,242357.575757575,Paid
