Campaign_ID,Campaign,Date,Channel,Region,Impressions,Clicks,Leads,Conversions,Customers_Acquired,Marketing_Spend,Sales,Profit,ROI,ROAS
CAM001,Summer Sale,2025-01-01,Facebook,South,25000.0,1250.0,320.0,85.0,72.0,15000.0,48000.0,18000.0,120.0,3.2
CAM002,Winter Offer,2025-01-02,Google Ads,North,30000.0,1600.0,410.0,110.0,95.0,18000.0,62000.0,25000.0,138.89,3.44
CAM003,New Product Launch,2025-01-03,Instagram,West,22000.0,1100.0,280.0,70.0,61.0,12000.0,42000.0,17000.0,141.67,3.5
CAM004,Brand Awareness,2025-01-04,YouTube,East,45000.0,900.0,190.0,45.0,39.0,20000.0,35000.0,10000.0,50.0,1.75
CAM005,Festival Campaign,2025-01-05,Facebook,South,38000.0,2100.0,520.0,145.0,128.0,22000.0,78000.0,32000.0,145.45,3.55
CAM006,Email Promotion,2025-01-06,Email,North,18000.0,2400.0,680.0,190.0,172.0,8000.0,55000.0,30000.0,375.0,6.88
CAM007,Retargeting,2025-01-07,Google Ads,West,27000.0,1800.0,460.0,125.0,108.0,14000.0,68000.0,36000.0,257.14,4.86
CAM008,Product Discount,2025-01-08,Instagram,East,24000.0,1350.0,350.0,92.0,80.0,11000.0,45000.0,21000.0,190.91,4.09
CAM009,Holiday Promotion,2025-01-09,Facebook,North,42000.0,2300.0,590.0,165.0,148.0,24000.0,85000.0,39000.0,162.5,3.54
CAM010,Customer Reactivation,2025-01-10,Email,South,16000.0,1900.0,550.0,175.0,160.0,7000.0,62000.0,40000.0,571.43,8.86
CAM011,Flash Sale,2025-01-11,Google Ads,East,35000.0,2500.0,620.0,180.0,155.0,19000.0,72000.0,31000.0,163.16,3.79
CAM012,Referral Campaign,2025-01-12,Referral,West,12000.0,800.0,240.0,95.0,88.0,5000.0,38000.0,24000.0,480.0,7.6
CAM013,Spring Promotion,2025-01-13,Instagram,South,28000.0,1450.0,390.0,105.0,92.0,13000.0,52000.0,25000.0,192.31,4.0
CAM014,Clearance Sale,2025-01-14,Facebook,East,32000.0,1750.0,430.0,120.0,104.0,16000.0,60000.0,27000.0,168.75,3.75
CAM015,Loyalty Campaign,2025-01-15,Email,North,15000.0,2200.0,720.0,210.0,195.0,6500.0,70000.0,45000.0,692.31,10.77
CAM016,Summer Sale,2025-01-16,Facebook,South,22752.380952381,1967.61904761905,559.714285714286,168.180952380952,152.07619047619,10390.4761904762,64333.3333333333,37057.1428571429,442.631238095238,7.30847619047619
CAM017,Winter Offer,2025-01-17,Google Ads,North,22188.0952380952,2001.90476190476,573.428571428571,173.270238095238,156.944047619048,9935.11904761905,65108.3333333333,38189.2857142857,465.88080952381,7.60886904761904
CAM018,New Product Launch,2025-01-18,Instagram,West,21623.8095238095,2036.19047619048,587.142857142857,178.359523809524,161.811904761905,9479.7619047619,65883.3333333333,39321.4285714286,489.130380952381,7.9092619047619
CAM019,Brand Awareness,2025-01-19,YouTube,East,21059.5238095238,2070.47619047619,600.857142857143,183.44880952381,166.679761904762,9024.40476190477,66658.3333333333,40453.5714285714,512.379952380953,8.20965476190476
CAM020,Festival Campaign,2025-01-20,Facebook,South,20495.2380952381,2104.7619047619,614.571428571429,188.538095238095,171.547619047619,8569.04761904763,67433.3333333333,41585.7142857143,535.629523809524,8.51004761904762
