Product Name,Product ID,Category,Subcategory,Quantity,Unit Price,Sales,Cost,Discount,Date,Region,Customer,Order ID,Returned Quantity
Wireless Headphones,P1001,Electronics,Audio,25,2499,62475,1800,0.1,2026-01-05,South,CUST001,ORD10001,2
Wireless Headphones,P1001,Electronics,Audio,18,2499,44982,1800,0.05,2026-01-12,North,CUST002,ORD10002,1
Wireless Headphones,P1001,Electronics,Audio,32,2499,79968,1800,0.08,2026-02-03,West,CUST003,ORD10003,0
Laptop Pro 14,P1002,Electronics,Laptops,12,74999,899988,58000,0.05,2026-01-08,South,CUST004,ORD10004,1
Laptop Pro 14,P1002,Electronics,Laptops,8,74999,599992,58000,0.0,2026-02-10,North,CUST005,ORD10005,0
Laptop Pro 14,P1002,Electronics,Laptops,15,74999,1124985,58000,0.07,2026-03-05,West,CUST006,ORD10006,2
Office Chair,P1003,Furniture,Chairs,20,8999,179980,5200,0.1,2026-01-15,South,CUST007,ORD10007,1
Office Chair,P1003,Furniture,Chairs,27,8999,242973,5200,0.05,2026-02-18,East,CUST008,ORD10008,2
Office Chair,P1003,Furniture,Chairs,35,8999,314965,5200,0.12,2026-03-12,South,CUST009,ORD10009,3
Standing Desk,P1004,Furniture,Desks,10,15999,159990,9500,0.05,2026-01-20,North,CUST010,ORD10010,0
Standing Desk,P1004,Furniture,Desks,14,15999,223986,9500,0.08,2026-02-22,West,CUST011,ORD10011,1
Standing Desk,P1004,Furniture,Desks,18,15999,287982,9500,0.1,2026-03-15,South,CUST012,ORD10012,1
Running Shoes,P1005,Sports,Footwear,40,4999,199960,2800,0.15,2026-01-10,East,CUST013,ORD10013,4
Running Shoes,P1005,Sports,Footwear,52,4999,259948,2800,0.1,2026-02-14,South,CUST014,ORD10014,3
Running Shoes,P1005,Sports,Footwear,65,4999,324935,2800,0.12,2026-03-20,West,CUST015,ORD10015,5
Smart Watch,P1006,Electronics,Wearables,22,6999,153978,4100,0.05,2026-01-25,South,CUST016,ORD10016,1
Smart Watch,P1006,Electronics,Wearables,30,6999,209970,4100,0.08,2026-02-25,North,CUST017,ORD10017,2
Smart Watch,P1006,Electronics,Wearables,45,6999,314955,4100,0.1,2026-03-25,East,CUST018,ORD10018,2
Coffee Machine,P1007,Appliances,Kitchen,15,8999,134985,5500,0.05,2026-01-18,West,CUST019,ORD10019,1
Coffee Machine,P1007,Appliances,Kitchen,21,8999,188979,5500,0.08,2026-02-16,South,CUST020,ORD10020,0
Coffee Machine,P1007,Appliances,Kitchen,28,8999,251972,5500,0.1,2026-03-18,North,CUST021,ORD10021,2
Bluetooth Speaker,P1008,Electronics,Audio,35,3499,122465,1900,0.05,2026-01-22,East,CUST022,ORD10022,1
Bluetooth Speaker,P1008,Electronics,Audio,48,3499,167952,1900,0.08,2026-02-20,South,CUST023,ORD10023,2
Bluetooth Speaker,P1008,Electronics,Audio,60,3499,209940,1900,0.1,2026-03-22,West,CUST024,ORD10024,3
