Return_ID,Return_Date,Order_ID,Customer_ID,Product_ID,Product_Name,Category,Region,City,Quantity,Return_Value,Return_Reason,Return_Status,Sales_Amount,Order_Date
RET001,2026-09-01,ORD001,CUST001,PROD001,Laptop,Electronics,South,Bengaluru,1.0,55000.0,Damaged,Approved,60000.0,2026-08-25
RET002,2026-09-01,ORD002,CUST002,PROD002,Mobile Phone,Electronics,West,Mumbai,1.0,28000.0,Wrong Item,Approved,30000.0,2026-08-26
RET003,2026-09-02,ORD003,CUST003,PROD003,Office Chair,Furniture,South,Chennai,2.0,12000.0,Defective,Approved,15000.0,2026-08-27
RET004,2026-09-02,ORD004,CUST004,PROD004,Headphones,Electronics,North,Delhi,4.0,3500.0,Changed Mind,Pending,4000.0,2026-08-28
RET005,2026-09-03,ORD005,CUST005,PROD005,Shoes,Fashion,West,Pune,1.0,4500.0,Wrong Size,Approved,5000.0,2026-08-28
RET006,2026-09-03,ORD006,CUST006,PROD006,Keyboard,Electronics,South,Hyderabad,2.0,3000.0,Damaged,Approved,3500.0,2026-08-29
RET007,2026-09-04,ORD007,CUST007,PROD007,Monitor,Electronics,East,Kolkata,1.0,18000.0,Defective,Approved,20000.0,2026-08-30
RET008,2026-09-04,ORD008,CUST008,PROD008,T-Shirt,Fashion,South,Bengaluru,3.0,2400.0,Wrong Size,Approved,3000.0,2026-08-30
RET009,2026-09-05,ORD009,CUST009,PROD009,Table,Furniture,North,Delhi,1.0,9000.0,Damaged,Rejected,10000.0,2026-08-31
RET010,2026-09-05,ORD010,CUST010,PROD010,Tablet,Electronics,West,Mumbai,1.0,22000.0,Changed Mind,Approved,25000.0,2026-09-01
RET011,2026-09-06,ORD011,CUST011,PROD011,Jeans,Fashion,South,Chennai,2.0,5000.0,Wrong Size,Approved,6000.0,2026-09-01
RET012,2026-09-06,ORD012,CUST012,PROD012,Printer,Electronics,East,Kolkata,1.0,14000.0,Defective,Approved,16000.0,2026-09-02
RET013,2026-09-07,ORD013,CUST013,PROD013,Sofa,Furniture,South,Bengaluru,1.0,32000.0,Damaged,Pending,35000.0,2026-09-02
RET014,2026-09-07,ORD014,CUST014,PROD014,Smart Watch,Electronics,West,Pune,1.0,8000.0,Wrong Item,Approved,9000.0,2026-09-03
RET015,2026-09-08,ORD015,CUST015,PROD015,Jacket,Fashion,North,Delhi,1.0,7000.0,Wrong Size,Approved,8000.0,2026-09-03
RET016,2026-09-08,ORD016,CUST016,PROD016,Mouse,Electronics,South,Hyderabad,2.0,1600.0,Defective,Approved,2000.0,2026-09-04
RET017,2026-09-09,ORD017,CUST017,PROD017,Desk,Furniture,East,Kolkata,1.0,11000.0,Changed Mind,Rejected,13000.0,2026-09-04
RET018,2026-09-09,ORD018,CUST018,PROD018,Camera,Electronics,West,Mumbai,1.0,45000.0,Damaged,Approved,50000.0,2026-09-05
RET019,2026-09-10,ORD019,CUST019,PROD019,Sneakers,Fashion,South,Bengaluru,3.0,6500.0,Wrong Size,Approved,7500.0,2026-09-05
RET020,2026-09-10,ORD020,CUST020,PROD020,Air Conditioner,Electronics,North,Delhi,1.0,38000.0,Defective,Approved,42000.0,2026-09-06
RET021,2026-09-01,ORD021,CUST021,PROD021,Laptop,Electronics,South,Bengaluru,1.33684210526316,16149.4736842105,Damaged,Approved,18255.2631578947,2026-08-25
RET022,2026-09-01,ORD022,CUST022,PROD022,Mobile Phone,Electronics,West,Mumbai,1.31654135338346,16137.5187969925,Wrong Item,Approved,18260.5263157895,2026-08-26
RET023,2026-09-02,ORD023,CUST023,PROD023,Office Chair,Furniture,South,Chennai,1.29624060150376,16125.5639097744,Defective,Approved,18265.7894736842,2026-08-27
RET024,2026-09-02,ORD024,CUST024,PROD024,Headphones,Electronics,North,Delhi,1.27593984962406,16113.6090225564,Changed Mind,Pending,18271.0526315789,2026-08-28
RET025,2026-09-03,ORD025,CUST025,PROD025,Shoes,Fashion,West,Pune,1.25563909774436,16101.6541353383,Wrong Size,Approved,18276.3157894737,2026-08-28
RET026,2026-09-03,ORD026,CUST026,PROD026,Keyboard,Electronics,South,Hyderabad,1.23533834586466,16089.6992481203,Damaged,Approved,18281.5789473684,2026-08-29
RET027,2026-09-04,ORD027,CUST027,PROD027,Monitor,Electronics,East,Kolkata,1.21503759398496,16077.7443609023,Defective,Approved,18286.8421052632,2026-08-30
RET028,2026-09-04,ORD028,CUST028,PROD028,T-Shirt,Fashion,South,Bengaluru,1.19473684210526,16065.7894736842,Wrong Size,Approved,18292.1052631579,2026-08-30
RET029,2026-09-05,ORD029,CUST029,PROD029,Table,Furniture,North,Delhi,1.17443609022556,16053.8345864662,Damaged,Rejected,18297.3684210526,2026-08-31
RET030,2026-09-05,ORD030,CUST030,PROD030,Tablet,Electronics,West,Mumbai,1.15413533834586,16041.8796992481,Changed Mind,Approved,18302.6315789474,2026-09-01
RET031,2026-09-06,ORD031,CUST031,PROD031,Jeans,Fashion,South,Chennai,1.13383458646617,16029.9248120301,Wrong Size,Approved,18307.8947368421,2026-09-01
RET032,2026-09-06,ORD032,CUST032,PROD032,Printer,Electronics,East,Kolkata,1.11353383458647,16017.969924812,Defective,Approved,18313.1578947368,2026-09-02
RET033,2026-09-07,ORD033,CUST033,PROD033,Sofa,Furniture,South,Bengaluru,1.09323308270677,16006.015037594,Damaged,Pending,18318.4210526316,2026-09-02
RET034,2026-09-07,ORD034,CUST034,PROD034,Smart Watch,Electronics,West,Pune,1.07293233082707,15994.0601503759,Wrong Item,Approved,18323.6842105263,2026-09-03
RET035,2026-09-08,ORD035,CUST035,PROD035,Jacket,Fashion,North,Delhi,1.05263157894737,15982.1052631579,Wrong Size,Approved,18328.9473684211,2026-09-03
RET036,2026-09-08,ORD036,CUST036,PROD036,Mouse,Electronics,South,Hyderabad,1.03233082706767,15970.1503759398,Defective,Approved,18334.2105263158,2026-09-04
RET037,2026-09-09,ORD037,CUST037,PROD037,Desk,Furniture,East,Kolkata,1.01203007518797,15958.1954887218,Changed Mind,Rejected,18339.4736842105,2026-09-04
RET038,2026-09-09,ORD038,CUST038,PROD038,Camera,Electronics,West,Mumbai,0.991729323308271,15946.2406015038,Damaged,Approved,18344.7368421053,2026-09-05
RET039,2026-09-10,ORD039,CUST039,PROD039,Sneakers,Fashion,South,Bengaluru,0.971428571428572,15934.2857142857,Wrong Size,Approved,18350.0,2026-09-05
RET040,2026-09-10,ORD040,CUST040,PROD040,Air Conditioner,Electronics,North,Delhi,0.951127819548872,15922.3308270677,Defective,Approved,18355.2631578947,2026-09-06
RET041,2026-09-01,ORD041,CUST041,PROD041,Laptop,Electronics,South,Bengaluru,0.930827067669173,15910.3759398496,Damaged,Approved,18360.5263157895,2026-08-25
RET042,2026-09-01,ORD042,CUST042,PROD042,Mobile Phone,Electronics,West,Mumbai,0.910526315789474,15898.4210526316,Wrong Item,Approved,18365.7894736842,2026-08-26
RET043,2026-09-02,ORD043,CUST043,PROD043,Office Chair,Furniture,South,Chennai,0.890225563909775,15886.4661654135,Defective,Approved,18371.052631579,2026-08-27
RET044,2026-09-02,ORD044,CUST044,PROD044,Headphones,Electronics,North,Delhi,0.869924812030076,15874.5112781955,Changed Mind,Pending,18376.3157894737,2026-08-28
RET045,2026-09-03,ORD045,CUST045,PROD045,Shoes,Fashion,West,Pune,0.849624060150376,15862.5563909774,Wrong Size,Approved,18381.5789473684,2026-08-28
RET046,2026-09-03,ORD046,CUST046,PROD046,Keyboard,Electronics,South,Hyderabad,0.829323308270677,15850.6015037594,Damaged,Approved,18386.8421052632,2026-08-29
RET047,2026-09-04,ORD047,CUST047,PROD047,Monitor,Electronics,East,Kolkata,0.809022556390978,15838.6466165413,Defective,Approved,18392.1052631579,2026-08-30
RET048,2026-09-04,ORD048,CUST048,PROD048,T-Shirt,Fashion,South,Bengaluru,0.788721804511279,15826.6917293233,Wrong Size,Approved,18397.3684210526,2026-08-30
