Region,Date,Order_ID,Customer_ID,Product_ID,Product_Name,Category,Quantity,Sales_Amount,Unit_Price,Discount,Profit,Cost,Order_Status,Sales_Channel,City,State,Country
North,2026-01-05,ORD1001,CUST001,PROD001,Laptop,Electronics,2.0,120000.0,60000.0,5000.0,22000.0,98000.0,Completed,Online,Delhi,Delhi,India
South,2026-01-06,ORD1002,CUST002,PROD002,Phone,Electronics,5.0,150000.0,30000.0,7500.0,30000.0,120000.0,Completed,Store,Bengaluru,Karnataka,India
West,2026-01-07,ORD1003,CUST003,PROD003,Chair,Furniture,8.0,80000.0,10000.0,4000.0,16000.0,60000.0,Completed,Online,Mumbai,Maharashtra,India
East,2026-01-08,ORD1004,CUST004,PROD004,Desk,Furniture,4.0,60000.0,15000.0,3000.0,12000.0,45000.0,Completed,Store,Kolkata,West Bengal,India
North,2026-01-09,ORD1005,CUST005,PROD005,Tablet,Electronics,3.0,90000.0,30000.0,4500.0,18000.0,67500.0,Completed,Online,Jaipur,Rajasthan,India
South,2026-01-10,ORD1006,CUST006,PROD006,Printer,Electronics,2.0,50000.0,25000.0,2000.0,9000.0,39000.0,Completed,Store,Chennai,Tamil Nadu,India
West,2026-01-11,ORD1007,CUST007,PROD007,Monitor,Electronics,6.0,120000.0,20000.0,6000.0,24000.0,90000.0,Completed,Online,Pune,Maharashtra,India
East,2026-01-12,ORD1008,CUST008,PROD008,Keyboard,Accessories,10.0,30000.0,3000.0,1500.0,7500.0,21000.0,Completed,Store,Bhubaneswar,Odisha,India
North,2026-01-13,ORD1009,CUST009,PROD009,Mouse,Accessories,15.0,22500.0,1500.0,1000.0,6000.0,15500.0,Completed,Online,Lucknow,Uttar Pradesh,India
South,2026-01-14,ORD1010,CUST010,PROD010,Headphones,Accessories,7.0,35000.0,5000.0,1750.0,8750.0,24500.0,Completed,Online,Hyderabad,Telangana,India
West,2026-01-15,ORD1011,CUST011,PROD011,Sofa,Furniture,3.0,75000.0,25000.0,3750.0,15000.0,56250.0,Completed,Store,Ahmedabad,Gujarat,India
East,2026-01-16,ORD1012,CUST012,PROD012,Table,Furniture,5.0,50000.0,10000.0,2500.0,10000.0,37500.0,Completed,Online,Patna,Bihar,India
North,2026-01-17,ORD1013,CUST013,PROD013,Laptop,Electronics,1.0,65000.0,65000.0,3000.0,12000.0,50000.0,Completed,Store,Chandigarh,Chandigarh,India
South,2026-01-18,ORD1014,CUST014,PROD014,Phone,Electronics,4.0,128000.0,32000.0,6400.0,25600.0,96000.0,Completed,Online,Kochi,Kerala,India
