Order_ID,Order_Date,Customer_ID,Product_ID,Product_Name,Category,Region,City,Quantity,Unit_Price,Discount_Percent,Revenue,Cost,Profit,Payment_Method,Order_Status
O000001,2025-06-08,C00175,P0084,Beauty Product 084,Beauty,West,Ahmedabad,1,5715.45,10.0,5143.9,2272.94,2870.96,Wallet,Returned
O000002,2025-05-30,C00042,P0076,Electronics Product 076,Electronics,North,Chandigarh,1,5803.55,20.0,4642.84,4642.84,0.0,UPI,Completed
O000003,2025-11-01,C00475,P0061,Electronics Product 061,Electronics,South,Chennai,1,7647.57,10.0,6882.81,4481.26,2401.55,Wallet,Completed
O000004,2025-08-31,C00054,P0063,Fashion Product 063,Fashion,North,Delhi,3,2531.09,10.0,6833.94,6074.61,759.33,Wallet,Completed
O000005,2025-07-10,C00323,P0056,Electronics Product 056,Electronics,South,Chennai,3,7138.32,5.0,20344.21,6035.64,14308.57,Wallet,Returned
O000006,2025-06-16,C00091,P0092,Home Product 092,Home,South,Bengaluru,2,5945.72,0.0,11891.44,6115.86,5775.58,Wallet,Completed
O000007,2025-09-14,C00180,P0022,Home Product 022,Home,North,Jaipur,5,5577.75,10.0,25099.88,19418.7,5681.18,Net Banking,Completed
O000008,2025-10-02,C00429,P0006,Electronics Product 006,Electronics,North,Jaipur,2,4936.68,15.0,8392.36,2658.76,5733.6,Wallet,Completed
O000009,2025-06-28,C00281,P0063,Fashion Product 063,Fashion,West,Mumbai,2,2531.09,20.0,4049.74,4049.74,0.0,Card,Pending
O000010,2025-01-12,C00039,P0034,Beauty Product 034,Beauty,East,Bhubaneswar,5,7768.65,10.0,34958.93,24095.05,10863.88,Net Banking,Completed
O000011,2025-02-07,C00026,P0090,Sports Product 090,Sports,Central,Indore,4,1423.92,0.0,5695.68,3918.64,1777.04,Cash,Completed
O000012,2025-02-22,C00051,P0048,Fashion Product 048,Fashion,South,Chennai,1,8002.61,0.0,8002.61,2580.86,5421.75,Net Banking,Completed
O000013,2025-06-18,C00155,P0033,Fashion Product 033,Fashion,West,Pune,3,2460.76,5.0,7013.17,5905.83,1107.34,Cash,Returned
O000014,2025-08-12,C00251,P0100,Sports Product 100,Sports,North,Jaipur,1,6735.82,10.0,6062.24,4059.62,2002.62,Wallet,Completed
O000015,2025-10-20,C00251,P0065,Sports Product 065,Sports,North,Jaipur,2,7148.9,15.0,12153.13,1666.2,10486.93,Card,Completed
O000016,2025-03-26,C00321,P0013,Fashion Product 013,Fashion,Central,Nagpur,4,4305.64,10.0,15500.3,3468.52,12031.78,Wallet,Completed
O000017,2025-10-14,C00372,P0084,Beauty Product 084,Beauty,South,Bengaluru,1,5715.45,0.0,5715.45,2272.94,3442.51,Card,Completed
O000018,2025-08-31,C00009,P0020,Sports Product 020,Sports,North,Chandigarh,3,3689.4,10.0,9961.38,8854.56,1106.82,Net Banking,Completed
O000019,2025-01-19,C00295,P0066,Electronics Product 066,Electronics,West,Mumbai,1,5295.06,10.0,4765.55,1101.52,3664.03,Card,Cancelled
O000020,2025-05-08,C00165,P0006,Electronics Product 006,Electronics,North,Jaipur,1,4936.68,10.0,4443.01,1329.38,3113.63,Net Banking,Completed
O000021,2025-04-21,C00373,P0090,Sports Product 090,Sports,South,Chennai,4,1423.92,10.0,5126.11,3918.64,1207.47,Wallet,Completed
O000022,2025-11-19,C00060,P0013,Fashion Product 013,Fashion,West,Ahmedabad,5,4305.64,20.0,17222.56,4335.65,12886.91,Wallet,Completed
O000023,2025-12-02,C00375,P0045,Sports Product 045,Sports,Central,Indore,4,3762.55,10.0,13545.18,12040.16,1505.02,Cash,Completed
O000024,2025-10-26,C00418,P0026,Electronics Product 026,Electronics,West,Pune,1,2848.75,10.0,2563.88,1586.57,977.31,Card,Completed
O000025,2025-07-12,C00492,P0018,Fashion Product 018,Fashion,North,Chandigarh,1,6795.4,20.0,5436.32,284.97,5151.35,UPI,Completed
O000026,2025-06-29,C00450,P0008,Fashion Product 008,Fashion,East,Bhubaneswar,3,8265.58,5.0,23556.9,5802.0,17754.9,UPI,Cancelled
O000027,2025-04-24,C00160,P0097,Home Product 097,Home,Central,Indore,3,3422.29,10.0,9240.18,8213.49,1026.69,Card,Completed
O000028,2025-10-09,C00168,P0038,Fashion Product 038,Fashion,South,Chennai,2,2947.65,0.0,5895.3,2422.46,3472.84,Net Banking,Completed
O000029,2025-02-01,C00437,P0011,Electronics Product 011,Electronics,South,Chennai,1,8240.08,0.0,8240.08,3787.62,4452.46,Net Banking,Completed
O000030,2025-04-09,C00468,P0049,Beauty Product 049,Beauty,West,Mumbai,1,3123.84,0.0,3123.84,2499.07,624.77,Card,Completed
O000031,2025-02-19,C00488,P0020,Sports Product 020,Sports,East,Bhubaneswar,5,3689.4,20.0,14757.6,14757.6,0.0,Card,Completed
O000032,2025-06-29,C00381,P0041,Electronics Product 041,Electronics,West,Ahmedabad,4,5698.77,10.0,20515.57,12097.88,8417.69,Wallet,Completed
O000033,2025-04-20,C00353,P0019,Beauty Product 019,Beauty,South,Hyderabad,3,6745.83,10.0,18213.74,10798.62,7415.12,Card,Completed
O000034,2025-03-13,C00055,P0014,Beauty Product 014,Beauty,North,Jaipur,2,4289.52,5.0,8150.09,6863.24,1286.85,Cash,Completed
O000035,2025-05-18,C00022,P0047,Home Product 047,Home,South,Bengaluru,3,4959.99,5.0,14135.97,11903.97,2232.0,Net Banking,Pending
O000036,2025-11-10,C00047,P0011,Electronics Product 011,Electronics,North,Jaipur,3,8240.08,0.0,24720.24,11362.86,13357.38,Card,Pending
O000037,2025-07-23,C00223,P0026,Electronics Product 026,Electronics,North,Delhi,4,2848.75,15.0,9685.75,6346.28,3339.47,Cash,Completed
O000038,2025-10-27,C00413,P0061,Electronics Product 061,Electronics,South,Bengaluru,3,7647.57,0.0,22942.71,13443.78,9498.93,Cash,Completed
O000039,2025-11-29,C00201,P0066,Electronics Product 066,Electronics,West,Mumbai,1,5295.06,15.0,4500.8,1101.52,3399.28,Cash,Completed
O000040,2025-11-25,C00366,P0037,Home Product 037,Home,South,Bengaluru,2,7720.82,15.0,13125.39,1415.72,11709.67,UPI,Completed
O000041,2025-05-08,C00237,P0092,Home Product 092,Home,West,Ahmedabad,5,5945.72,15.0,25269.31,15289.65,9979.66,Net Banking,Pending
