Date,Revenue,COGS,Gross_Profit,Operating_Expenses,Marketing_Expense,Tax,Net_Profit,Cash_Flow,Budget_Revenue
2025-01-01,6133606.49,3583610.61,2549995.88,809640.4,327889.88,254243.81,1158221.79,1121152.69,6411118.86
2025-02-01,5316579.31,3321255.27,1995324.04,784728.92,436674.28,139305.75,634615.09,558593.11,5487279.1
2025-03-01,6591781.38,3835870.41,2755910.97,1240327.79,374397.16,205413.48,935772.53,928419.11,6555350.76
2025-04-01,5972690.66,3298401.16,2674289.5,801615.34,493991.08,248162.95,1130520.13,945363.51,6332081.29
2025-05-01,5318112.01,3090299.03,2227812.98,911292.93,327491.49,178025.14,811003.41,660264.42,5000022.06
2025-06-01,5959618.99,3157815.24,2801803.75,1148738.95,251713.58,252243.22,1149108.0,1164317.09,6341401.63
2025-07-01,6355707.19,3580195.45,2775511.74,1123542.91,331156.65,237746.19,1083065.99,1176731.98,6578235.6
2025-08-01,5736146.82,3695476.54,2040670.28,1068210.29,357467.4,110698.67,504293.92,551329.43,5641546.39
2025-09-01,5781164.93,3687941.57,2093223.36,841979.46,243660.98,181364.93,826217.99,689259.53,5596668.79
2025-10-01,5830417.32,3411938.01,2418479.31,994439.34,448600.6,175579.09,799860.29,864320.72,5563715.14
2025-11-01,5411136.25,3348308.36,2062827.89,877621.36,383468.19,144312.9,657425.44,644209.88,5546861.03
2025-12-01,5007631.4,3387122.47,1620508.93,918080.14,,53692.63,244599.75,263897.31,5047638.0
