Return_ID,Return_Date,Order_ID,Customer_ID,Product_ID,Product_Name,Category,Region,Quantity_Returned,Return_Reason,Refund_Amount,Return_Status
R00001,2025-04-01,O001502,C00144,P0011,Electronics Product 011,Electronics,South,3,Changed Mind,20801.03,Approved
R00002,2025-11-22,O002587,C00335,P0089,Beauty Product 089,Beauty,North,1,Wrong Product,8853.98,Approved
R00003,2025-08-09,O002654,C00067,P0087,Home Product 087,Home,Central,5,Damaged,17005.18,Approved
R00004,2025-02-22,O001056,C00024,P0006,Electronics Product 006,Electronics,North,4,Quality Issue,15837.49,Approved
R00005,2025-10-20,O000706,C00398,P0001,Electronics Product 001,Electronics,South,1,Quality Issue,5629.28,Pending
R00006,2025-06-08,O000107,C00207,P0052,Home Product 052,Home,Central,4,Quality Issue,9695.66,Approved
R00007,2025-05-30,O000590,C00342,P0096,Electronics Product 096,Electronics,South,2,Wrong Product,3745.53,Approved
R00008,2025-06-16,O002469,C00164,P0003,Fashion Product 003,Fashion,Central,3,Wrong Product,29827.65,Approved
R00009,2025-03-08,O002414,C00068,P0038,Fashion Product 038,Fashion,Central,1,Damaged,5619.23,Approved
R00010,2025-01-22,O001601,C00414,P0086,Electronics Product 086,Electronics,North,2,,11153.37,Approved
R00011,2026-01-06,O002465,C00489,P0054,Beauty Product 054,Beauty,North,3,Damaged,14809.22,Approved
R00012,2025-11-28,O000229,C00367,P0098,Fashion Product 098,Fashion,East,1,Damaged,4602.35,Approved
R00013,2025-04-22,O000916,C00476,P0057,Home Product 057,Home,Central,1,Damaged,4820.76,Pending
R00014,2025-10-09,O000795,C00073,P0011,Electronics Product 011,Electronics,West,3,Changed Mind,14322.0,Pending
R00015,2025-08-08,O003022,C00308,P0027,Home Product 027,Home,North,1,Changed Mind,5323.65,Approved
R00016,2025-10-11,O003544,C00479,P0046,Electronics Product 046,Electronics,West,4,Late Delivery,26487.02,Approved
R00017,2025-01-18,O001074,C00215,P0067,Home Product 067,Home,Central,1,Wrong Product,7748.76,Approved
