Return_ID,Order_ID,Customer_ID,Product_ID,Return_Date,Return_Quantity,Return_Reason,Return_Status,Refund_Amount,Region
RET0001,ORD10002,CUST1347,PROD012,2025-01-10,1,Defective Item,Approved,7500,Central
RET0002,ORD10008,CUST1414,PROD001,2025-01-10,1,Size/Fit Issue,Rejected,0,East
RET0006,ORD10044,CUST1085,PROD007,2025-01-16,2,Damaged,Approved,17000,South
RET0003,ORD10009,CUST1041,PROD009,2025-01-20,1,Not as Described,Approved,2800,West
RET0009,ORD10105,CUST1130,PROD014,2025-01-20,1,Quality Not Expected,Approved,2200,South
RET0012,ORD10158,CUST1116,PROD014,2025-01-23,1,Changed Mind,Rejected,0,South
RET0004,ORD10039,CUST1207,PROD012,2025-01-24,2,Damaged,Processed,15000,West
RET0008,ORD10074,CUST1198,PROD010,2025-01-24,1,Wrong Item Received,Approved,5500,North
RET0005,ORD10040,CUST1098,PROD009,2025-01-26,1,Changed Mind,Approved,2800,East
RET0007,ORD10062,CUST1280,PROD001,2025-01-27,1,Quality Not Expected,Approved,50000,West
RET0013,ORD10191,CUST1073,PROD013,2025-01-27,3,Defective Item,Approved,28500,North
RET0016,ORD10247,CUST1349,PROD010,2025-02-02,1,Not as Described,Approved,5500,Central
RET0014,ORD10195,CUST1318,PROD009,2025-02-03,1,Quality Not Expected,Processed,2800,West
RET0010,ORD10108,CUST1343,PROD002,2025-02-04,4,Not as Described,Rejected,0,Central
RET0011,ORD10129,CUST1008,PROD012,2025-02-04,1,Changed Mind,Approved,7500,Central
RET0015,ORD10240,CUST1088,PROD013,2025-02-04,1,Changed Mind,Approved,9500,Central
RET0018,ORD10269,CUST1428,PROD004,2025-02-06,1,Size/Fit Issue,Approved,14000,West
RET0021,ORD10310,CUST1436,PROD003,2025-02-13,2,Defective Item,Approved,12000,North
RET0017,ORD10263,CUST1116,PROD003,2025-02-14,1,Damaged,Approved,6000,North
RET0023,ORD10335,CUST1147,PROD009,2025-02-17,1,Size/Fit Issue,Approved,2800,South
RET0022,ORD10331,CUST1417,PROD006,2025-02-20,1,Defective Item,Processed,22000,Central
RET0020,ORD10297,CUST1280,PROD005,2025-02-24,1,Wrong Item Received,Approved,15000,West
RET0019,ORD10296,CUST1411,PROD002,2025-02-27,1,Size/Fit Issue,Approved,32000,East
RET0024,ORD10373,CUST1206,PROD011,2025-03-02,1,Changed Mind,Approved,6500,South
RET0025,ORD10391,CUST1335,PROD014,2025-03-04,1,Wrong Item Received,Approved,2200,West
RET0026,ORD10433,CUST1092,PROD014,2025-03-07,1,Not as Described,Approved,2200,West
RET0028,ORD10555,CUST1340,PROD003,2025-03-18,1,Not as Described,Approved,6000,North
RET0032,ORD10595,CUST1421,PROD012,2025-03-20,1,Changed Mind,Processed,7500,West
RET0029,ORD10557,CUST1104,PROD003,2025-03-21,1,Size/Fit Issue,Processed,6000,Central
RET0030,ORD10568,CUST1063,PROD001,2025-03-21,1,Changed Mind,Processed,50000,East
RET0027,ORD10494,CUST1292,PROD006,2025-03-22,1,Changed Mind,Approved,22000,Central
RET0033,ORD10609,CUST1243,PROD014,2025-03-24,1,Quality Not Expected,Approved,2200,South
RET0031,ORD10582,CUST1429,PROD013,2025-03-26,2,Quality Not Expected,Approved,19000,East
RET0034,ORD10623,CUST1055,PROD010,2025-03-26,1,Defective Item,Processed,5500,South
RET0036,ORD10647,CUST1030,PROD013,2025-03-26,1,Quality Not Expected,Approved,9500,Central
RET0037,ORD10701,CUST1336,PROD011,2025-04-04,3,Not as Described,Approved,19500,East
RET0038,ORD10730,CUST1285,PROD005,2025-04-09,1,Not as Described,Approved,15000,North
RET0041,ORD10796,CUST1268,PROD007,2025-04-09,3,Defective Item,Approved,25500,West
RET0035,ORD10644,CUST1332,PROD010,2025-04-10,1,Quality Not Expected,Processed,5500,Central
RET0040,ORD10791,CUST1371,PROD011,2025-04-11,4,Changed Mind,Approved,26000,West
RET0039,ORD10775,CUST1266,PROD013,2025-04-15,1,Damaged,Approved,9500,West
RET0043,ORD10824,CUST1128,PROD005,2025-04-17,1,Size/Fit Issue,Approved,15000,South
RET0042,ORD10822,CUST1035,PROD007,2025-04-18,1,Quality Not Expected,Approved,8500,North
RET0045,ORD10840,CUST1101,PROD003,2025-04-22,1,Changed Mind,Rejected,0,North
RET0044,ORD10839,CUST1417,PROD002,2025-04-23,2,Quality Not Expected,Processed,64000,West
RET0046,ORD10851,CUST1335,PROD005,2025-04-24,1,Size/Fit Issue,Rejected,0,West
RET0048,ORD10873,CUST1065,PROD012,2025-05-02,1,Size/Fit Issue,Processed,7500,East
RET0047,ORD10869,CUST1146,PROD011,2025-05-05,1,Size/Fit Issue,Approved,6500,Central
RET0050,ORD11026,CUST1404,PROD014,2025-05-09,1,Changed Mind,Processed,2200,West
RET0052,ORD11031,CUST1197,PROD002,2025-05-16,1,Size/Fit Issue,Processed,32000,West
RET0053,ORD11051,CUST1257,PROD005,2025-05-17,1,Quality Not Expected,Approved,15000,East
RET0049,ORD11010,CUST1260,PROD001,2025-05-19,3,Quality Not Expected,Processed,150000,East
RET0051,ORD11030,CUST1303,PROD007,2025-05-19,1,Changed Mind,Approved,8500,North
RET0054,ORD11063,CUST1380,PROD002,2025-05-20,1,Wrong Item Received,Approved,32000,Central
RET0057,ORD11148,CUST1241,PROD012,2025-05-23,2,Size/Fit Issue,Approved,15000,Central
RET0056,ORD11119,CUST1023,PROD002,2025-05-27,4,Damaged,Rejected,0,South
RET0058,ORD11191,CUST1279,PROD006,2025-05-30,3,Not as Described,Approved,66000,West
RET0055,ORD11100,CUST1348,PROD014,2025-06-03,1,Wrong Item Received,Processed,2200,Central
RET0060,ORD11207,CUST1420,PROD010,2025-06-07,1,Not as Described,Approved,5500,South
RET0061,ORD11230,CUST1236,PROD001,2025-06-07,1,Not as Described,Processed,50000,South
RET0063,ORD11277,CUST1405,PROD001,2025-06-07,2,Defective Item,Processed,100000,West
RET0062,ORD11251,CUST1320,PROD009,2025-06-10,2,Defective Item,Rejected,0,East
RET0068,ORD11326,CUST1244,PROD005,2025-06-13,1,Not as Described,Approved,15000,Central
RET0069,ORD11332,CUST1024,PROD009,2025-06-15,2,Not as Described,Approved,5600,South
RET0059,ORD11201,CUST1010,PROD013,2025-06-16,2,Defective Item,Approved,19000,East
RET0066,ORD11293,CUST1221,PROD014,2025-06-18,1,Size/Fit Issue,Approved,2200,North
RET0073,ORD11374,CUST1044,PROD006,2025-06-19,1,Quality Not Expected,Rejected,0,West
RET0065,ORD11290,CUST1088,PROD010,2025-06-20,1,Not as Described,Approved,5500,South
RET0064,ORD11289,CUST1317,PROD007,2025-06-22,1,Quality Not Expected,Approved,8500,Central
RET0074,ORD11387,CUST1298,PROD010,2025-06-24,1,Defective Item,Rejected,0,Central
RET0071,ORD11370,CUST1137,PROD006,2025-06-26,1,Wrong Item Received,Approved,22000,East
RET0067,ORD11294,CUST1373,PROD011,2025-06-27,1,Quality Not Expected,Rejected,0,North
RET0075,ORD11389,CUST1054,PROD006,2025-06-28,1,Not as Described,Processed,22000,Central
RET0070,ORD11343,CUST1224,PROD014,2025-07-03,1,Wrong Item Received,Approved,2200,Central
RET0072,ORD11371,CUST1386,PROD013,2025-07-05,1,Quality Not Expected,Processed,9500,Central
RET0078,ORD11461,CUST1334,PROD011,2025-07-08,1,Defective Item,Approved,6500,South
RET0083,ORD11535,CUST1088,PROD014,2025-07-08,1,Defective Item,Processed,2200,South
RET0076,ORD11404,CUST1390,PROD008,2025-07-10,1,Damaged,Approved,1500,East
RET0084,ORD11549,CUST1129,PROD002,2025-07-11,1,Wrong Item Received,Approved,32000,Central
RET0077,ORD11435,CUST1276,PROD001,2025-07-12,2,Not as Described,Rejected,0,East
RET0080,ORD11495,CUST1118,PROD010,2025-07-12,1,Changed Mind,Approved,5500,South
RET0079,ORD11464,CUST1096,PROD004,2025-07-15,1,Size/Fit Issue,Approved,14000,North
RET0082,ORD11524,CUST1178,PROD012,2025-07-16,1,Size/Fit Issue,Processed,7500,West
RET0081,ORD11502,CUST1005,PROD013,2025-07-18,1,Damaged,Approved,9500,West
RET0085,ORD11560,CUST1094,PROD008,2025-07-22,1,Wrong Item Received,Processed,1500,South
RET0086,ORD11564,CUST1156,PROD005,2025-07-22,1,Changed Mind,Approved,15000,Central
RET0091,ORD11686,CUST1206,PROD006,2025-07-27,1,Wrong Item Received,Approved,22000,South
RET0087,ORD11586,CUST1269,PROD007,2025-07-30,1,Changed Mind,Rejected,0,West
RET0095,ORD11708,CUST1021,PROD001,2025-07-31,2,Quality Not Expected,Processed,100000,South
RET0093,ORD11698,CUST1223,PROD008,2025-08-02,1,Wrong Item Received,Processed,1500,West
RET0088,ORD11589,CUST1415,PROD013,2025-08-03,1,Defective Item,Rejected,0,North
RET0090,ORD11673,CUST1433,PROD002,2025-08-04,1,Changed Mind,Approved,32000,South
RET0098,ORD11738,CUST1052,PROD012,2025-08-04,1,Changed Mind,Approved,7500,Central
RET0094,ORD11699,CUST1127,PROD010,2025-08-05,2,Size/Fit Issue,Processed,11000,North
RET0089,ORD11666,CUST1348,PROD013,2025-08-06,1,Size/Fit Issue,Approved,9500,Central
RET0097,ORD11722,CUST1311,PROD005,2025-08-06,1,Changed Mind,Processed,15000,North
RET0096,ORD11717,CUST1230,PROD011,2025-08-12,1,Defective Item,Approved,6500,South
RET0099,ORD11747,CUST1181,PROD011,2025-08-13,1,Wrong Item Received,Approved,6500,West
RET0092,ORD11694,CUST1410,PROD011,2025-08-16,1,Not as Described,Approved,6500,North
RET0102,ORD11800,CUST1080,PROD014,2025-08-17,1,Changed Mind,Approved,2200,South
RET0101,ORD11792,CUST1281,PROD014,2025-08-20,1,Size/Fit Issue,Approved,2200,South
RET0108,ORD11870,CUST1256,PROD001,2025-08-21,1,Not as Described,Processed,50000,West
RET0100,ORD11769,CUST1384,PROD009,2025-08-24,1,Wrong Item Received,Approved,2800,West
RET0103,ORD11803,CUST1093,PROD012,2025-08-25,1,Wrong Item Received,Approved,7500,South
RET0104,ORD11808,CUST1028,PROD004,2025-08-27,2,Wrong Item Received,Processed,28000,South
RET0105,ORD11815,CUST1166,PROD011,2025-08-27,1,Size/Fit Issue,Processed,6500,West
RET0106,ORD11828,CUST1258,PROD010,2025-08-27,1,Damaged,Approved,5500,South
RET0107,ORD11863,CUST1204,PROD001,2025-09-03,1,Size/Fit Issue,Processed,50000,South
RET0111,ORD11942,CUST1425,PROD011,2025-09-03,1,Not as Described,Processed,6500,South
RET0109,ORD11883,CUST1071,PROD010,2025-09-06,1,Defective Item,Approved,5500,East
RET0110,ORD11921,CUST1142,PROD005,2025-09-13,1,Wrong Item Received,Approved,15000,North
RET0117,ORD12055,CUST1051,PROD006,2025-09-14,1,Not as Described,Rejected,0,West
RET0114,ORD11997,CUST1040,PROD005,2025-09-17,1,Defective Item,Approved,15000,Central
RET0116,ORD12026,CUST1329,PROD007,2025-09-18,1,Changed Mind,Processed,8500,West
RET0112,ORD11988,CUST1333,PROD006,2025-09-19,1,Not as Described,Approved,22000,East
RET0118,ORD12074,CUST1307,PROD006,2025-09-19,1,Size/Fit Issue,Rejected,0,Central
RET0115,ORD12006,CUST1010,PROD014,2025-09-22,1,Wrong Item Received,Rejected,0,East
RET0113,ORD11992,CUST1061,PROD010,2025-09-23,1,Changed Mind,Processed,5500,West
RET0120,ORD12160,CUST1019,PROD014,2025-10-01,1,Damaged,Approved,2200,Central
RET0119,ORD12149,CUST1228,PROD001,2025-10-04,1,Not as Described,Approved,50000,West
RET0121,ORD12165,CUST1191,PROD010,2025-10-08,1,Quality Not Expected,Processed,5500,East
RET0125,ORD12320,CUST1120,PROD004,2025-10-09,1,Quality Not Expected,Approved,14000,West
RET0123,ORD12249,CUST1235,PROD012,2025-10-11,2,Damaged,Approved,15000,East
RET0127,ORD12328,CUST1185,PROD005,2025-10-11,1,Wrong Item Received,Processed,15000,South
RET0126,ORD12326,CUST1245,PROD005,2025-10-12,1,Size/Fit Issue,Approved,15000,Central
RET0122,ORD12196,CUST1273,PROD013,2025-10-18,3,Damaged,Approved,28500,East
RET0131,ORD12377,CUST1449,PROD012,2025-10-21,2,Size/Fit Issue,Approved,15000,East
RET0133,ORD12463,CUST1146,PROD009,2025-10-24,1,Quality Not Expected,Processed,2800,West
RET0124,ORD12315,CUST1335,PROD011,2025-10-25,1,Not as Described,Processed,6500,North
RET0135,ORD12532,CUST1097,PROD003,2025-10-27,1,Not as Described,Approved,6000,West
RET0130,ORD12373,CUST1267,PROD005,2025-10-28,1,Size/Fit Issue,Approved,15000,Central
RET0134,ORD12492,CUST1265,PROD007,2025-10-28,2,Damaged,Approved,17000,North
RET0137,ORD12543,CUST1079,PROD003,2025-10-28,1,Damaged,Rejected,0,East
RET0128,ORD12341,CUST1160,PROD008,2025-10-29,3,Defective Item,Approved,4500,East
RET0132,ORD12412,CUST1165,PROD014,2025-10-29,2,Changed Mind,Rejected,0,North
RET0129,ORD12371,CUST1206,PROD002,2025-11-02,4,Changed Mind,Approved,128000,Central
RET0141,ORD12637,CUST1386,PROD009,2025-11-05,1,Damaged,Processed,2800,South
RET0139,ORD12587,CUST1004,PROD006,2025-11-06,1,Damaged,Processed,22000,South
RET0136,ORD12538,CUST1164,PROD010,2025-11-07,2,Damaged,Rejected,0,West
RET0143,ORD12663,CUST1245,PROD009,2025-11-10,2,Not as Described,Approved,5600,South
RET0138,ORD12569,CUST1041,PROD006,2025-11-13,2,Size/Fit Issue,Approved,44000,East
RET0142,ORD12640,CUST1233,PROD007,2025-11-14,1,Damaged,Approved,8500,West
RET0145,ORD12687,CUST1322,PROD008,2025-11-20,1,Changed Mind,Approved,1500,Central
